trial,direct_accuracy, self_train_accuracy, gradual_direct_accuracy, gradual_self_train_accuracy, generated_accuracy
seed0with1gt2generated,16.1,15.9,16.1,19.95,45.1
seed1with1gt2generated,10.55,13.45,10.55,19.55,50.0
seed2with1gt2generated,16.1,16.45,16.1,23.25,61.55
seed3with1gt2generated,29.6,31.9,29.6,36.0,43.05
seed4with1gt2generated,37.2,38.55,37.2,36.85,72.55
seed5with1gt2generated,19.25,19.75,19.25,50.05,64.75
seed6with1gt2generated,26.1,27.5,26.1,40.3,84.3
seed7with1gt2generated,23.6,25.85,23.6,50.55,69.35
seed8with1gt2generated,11.0,20.0,11.0,24.4,58.15
seed9with1gt2generated,42.15,43.1,42.15,65.95,86.25
