seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,40.0,41.25,40.0,58.8,0,0,0.25,0.8100000023841858, 0.46000000834465027,9.27, 10.29
seed1with1gt2generated,31.2,31.65,31.2,33.9,0,0,0.3199999928474426,0.23999999463558197, 0.25,8.99, 9.26
seed2with1gt2generated,37.55,41.4,37.55,52.75,0,0,0.33000001311302185,0.3400000035762787, 0.3799999952316284,8.95, 9.85
seed3with1gt2generated,32.0,32.55,32.0,54.9,0,0,0.33000001311302185,0.3100000023841858, 0.550000011920929,8.83, 9.75
seed4with1gt2generated,24.25,25.5,24.25,30.0,0,0,0.38999998569488525,1.2799999713897705, 0.9300000071525574,9.03, 9.43
seed5with1gt2generated,16.3,20.25,16.3,23.1,0,0,0.3400000035762787,0.07999999821186066, 0.47999998927116394,8.52, 8.59
seed6with1gt2generated,18.6,22.9,18.6,19.45,0,0,0.4000000059604645,0.7200000286102295, 0.8700000047683716,8.43, 8.7
seed7with1gt2generated,22.7,23.0,22.7,43.65,0,0,0.33000001311302185,0.8100000023841858, 0.3199999928474426,8.15, 8.75
seed8with1gt2generated,13.45,14.35,13.45,16.75,0,0,0.4699999988079071,0.28999999165534973, 0.5099999904632568,8.73, 8.98
seed9with1gt2generated,17.15,29.25,17.15,33.3,0,0,0.3400000035762787,0.30000001192092896, 0.7599999904632568,8.92, 9.31
