trial,direct_accuracy, self_train_accuracy, gradual_direct_accuracy, gradual_self_train_accuracy, self_train_rep_shift, gradual_self_train_rep_shift
seed0with1gt2generated,17.4,17.55,17.4,13.65,0,0,0.5
seed9with1gt2generated,29.8,32.85,29.8,51.0,0,0,0.23999999463558197
seed1with1gt2generated,17.55,27.05,17.55,43.45,0,0,0.3100000023841858
seed2with1gt2generated,27.1,32.55,27.1,48.65,0,0,0.23999999463558197
seed3with1gt2generated,19.7,22.85,19.7,24.1,0,0,0.36000001430511475
seed4with1gt2generated,20.9,22.25,20.9,33.95,0,0,0.3199999928474426
seed5with1gt2generated,13.15,21.35,13.15,32.0,0,0,0.41999998688697815
seed6with1gt2generated,27.5,30.1,27.5,34.25,0,0,0.33000001311302185
seed7with1gt2generated,31.3,32.55,31.3,36.35,0,0,0.27000001072883606
seed8with1gt2generated,20.2,22.6,20.2,24.95,0,0,0.41999998688697815
