seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,2,74.6,1.0499999523162842, 0.009999999776482582, 64.0
1,2,68.2,1.0499999523162842, -0.019999999552965164, 63.33
2,2,24.65,1.809999942779541, 0.03999999910593033, 66.29
3,2,49.5,1.3899999856948853, 0.23999999463558197, 66.92
4,2,91.05,0.7099999785423279, 0.009999999776482582, 62.28
5,2,78.85,0.8600000143051147, 0.05999999865889549, 64.6
6,2,93.45,0.7799999713897705, 0.009999999776482582, 63.83
7,2,68.4,1.2300000190734863, -0.10000000149011612, 62.83
8,2,71.55,0.9599999785423279, 0.05000000074505806, 63.86
9,2,58.9,1.4199999570846558, 0.6299999952316284, 64.15
