seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,5,83.85,0.6299999952316284, 0.07000000029802322, 53.16
1,5,88.5,0.6499999761581421, 0.03999999910593033, 54.13
2,5,89.15,0.6299999952316284, 0.019999999552965164, 53.35
3,5,87.15,0.6499999761581421, 0.009999999776482582, 54.02
4,5,90.35,0.6000000238418579, 0.1599999964237213, 53.18
5,5,92.35,0.6100000143051147, 0.009999999776482582, 54.03
6,5,94.8,0.6299999952316284, 0.009999999776482582, 53.4
7,5,94.75,0.6000000238418579, 0.029999999329447746, 53.98
8,5,91.6,0.6000000238418579, -0.009999999776482582, 53.46
9,5,93.2,0.6000000238418579, 0.03999999910593033, 52.94
10,5,88.9,0.6100000143051147, 0.05999999865889549, 52.65
11,5,94.3,0.6000000238418579, -0.009999999776482582, 54.9
12,5,95.2,0.6000000238418579, 0.019999999552965164, 53.41
13,5,92.6,0.6399999856948853, 0.009999999776482582, 53.83
14,5,90.1,0.6200000047683716, 0.019999999552965164, 54.24
15,5,91.65,0.6200000047683716, 0.07000000029802322, 55.07
16,5,90.8,0.6000000238418579, 0.019999999552965164, 54.22
17,5,90.2,0.6499999761581421, 0.019999999552965164, 55.3
18,5,92.0,0.6000000238418579, 0.019999999552965164, 54.11
19,5,89.8,0.5899999737739563, 0.05000000074505806, 53.89
