seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,3,94.9,0.75, 0.0, 58.85
1,3,95.25,0.800000011920929, 0.0, 59.6
2,3,89.15,0.7400000095367432, 0.0, 59.39
3,3,91.75,0.8199999928474426, 0.0, 61.57
4,3,95.95,0.7799999713897705, 0.019999999552965164, 59.22
5,3,95.45,0.7300000190734863, 0.0, 59.56
6,3,95.75,0.7699999809265137, 0.019999999552965164, 60.32
7,3,94.35,0.7699999809265137, -0.0, 59.68
8,3,94.4,0.7699999809265137, -0.07000000029802322, 59.16
9,3,79.25,0.7900000214576721, 0.019999999552965164, 61.4
