seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
6,5,95.0,0.5799999833106995, 0.009999999776482582, 48.1
7,5,95.45,0.5899999737739563, 0.0, 49.53
8,5,95.75,0.6299999952316284, -0.0, 48.76
0,5,94.6,0.6100000143051147, -0.0, 48.64
1,5,94.85,0.6100000143051147, -0.0, 49.79
2,5,95.0,0.5799999833106995, -0.009999999776482582, 49.05
3,5,95.55,0.6100000143051147, 0.0, 50.15
4,5,96.0,0.6299999952316284, 0.0, 49.53
5,5,94.25,0.6100000143051147, 0.0, 49.83
6,5,96.4,0.6000000238418579, 0.0, 49.65
7,5,95.35,0.5899999737739563, -0.0, 49.38
8,5,95.4,0.5899999737739563, 0.0, 49.74
9,5,95.8,0.5899999737739563, 0.0, 50.35
10,5,94.6,0.6200000047683716, -0.0, 49.5
11,5,96.25,0.5899999737739563, 0.009999999776482582, 50.87
12,5,96.3,0.5899999737739563, 0.0, 50.83
13,5,94.15,0.6200000047683716, -0.0, 49.64
14,5,96.65,0.6399999856948853, -0.019999999552965164, 49.75
15,5,95.05,0.5799999833106995, -0.0, 51.64
16,5,94.7,0.6399999856948853, 0.019999999552965164, 49.87
