seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,5,94.1,0.6299999952316284, 0.0, 48.37
1,5,96.4,0.6000000238418579, 0.0, 49.6
2,5,94.65,0.6000000238418579, 0.019999999552965164, 48.66
0,5,93.95,0.5699999928474426, -0.019999999552965164, 48.16
1,5,95.1,0.6000000238418579, 0.0, 49.32
2,5,95.45,0.6000000238418579, 0.0, 49.34
3,5,95.4,0.5899999737739563, 0.0, 49.34
4,5,94.85,0.6299999952316284, -0.009999999776482582, 49.42
5,5,96.05,0.6200000047683716, -0.009999999776482582, 49.81
6,5,94.45,0.6100000143051147, 0.009999999776482582, 49.98
7,5,94.3,0.6000000238418579, 0.0, 49.08
8,5,95.35,0.5899999737739563, 0.009999999776482582, 49.43
9,5,93.35,0.6000000238418579, -0.0, 50.29
10,5,95.7,0.6000000238418579, 0.009999999776482582, 49.37
11,5,95.25,0.6000000238418579, 0.009999999776482582, 50.78
12,5,96.75,0.6000000238418579, 0.0, 50.43
13,5,95.55,0.6299999952316284, 0.009999999776482582, 49.29
14,5,95.75,0.6299999952316284, -0.0, 49.18
15,5,94.4,0.6000000238418579, 0.0, 51.62
16,5,94.2,0.6100000143051147, 0.009999999776482582, 49.61
17,5,94.6,0.5899999737739563, 0.0, 50.71
18,5,94.15,0.6000000238418579, -0.009999999776482582, 50.81
19,5,94.95,0.6100000143051147, -0.07999999821186066, 50.12
