trial,direct_accuracy, self_train_accuracy, gradual_direct_accuracy, gradual_self_train_accuracy, generated_accuracy
seed0with1gt2generated,74.35,75.05,74.35,90.75,90.6
seed1with1gt2generated,48.4,10.1,48.4,74.1,84.55
seed2with1gt2generated,32.25,32.0,32.25,28.5,63.05
seed3with1gt2generated,54.1,8.3,54.1,74.55,89.6
seed4with1gt2generated,46.35,17.85,46.35,64.9,73.05
seed5with1gt2generated,48.75,10.0,48.75,10.0,83.05
seed6with1gt2generated,51.85,48.5,51.85,64.35,80.8
seed7with1gt2generated,39.2,10.4,39.2,9.6,92.05
seed8with1gt2generated,65.9,16.45,65.9,76.5,91.4
seed9with1gt2generated,67.85,9.3,67.85,87.95,89.95
