seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,38.6,59.5,38.6,42.5,0,0,0.1599999964237213,-0.05000000074505806, 0.10999999940395355,4.79, 4.92
seed1with1gt2generated,52.0,63.0,52.0,71.55,0,0,0.10000000149011612,-0.019999999552965164, 0.029999999329447746,5.04, 5.18
seed2with1gt2generated,39.15,49.35,39.15,53.75,0,0,0.14000000059604645,0.4300000071525574, 0.11999999731779099,4.93, 5.09
seed3with1gt2generated,35.45,49.9,35.45,41.9,0,0,0.17000000178813934,0.4000000059604645, 0.18000000715255737,5.18, 5.35
seed4with1gt2generated,28.1,36.0,28.1,39.65,0,0,0.18000000715255737,0.4099999964237213, 0.14000000059604645,4.94, 5.15
seed5with1gt2generated,26.2,31.3,26.2,30.25,0,0,0.1899999976158142,0.23999999463558197, 0.23000000417232513,4.74, 4.92
seed6with1gt2generated,44.55,60.1,44.55,59.9,0,0,0.12999999523162842,0.03999999910593033, 0.23999999463558197,4.98, 5.2
seed7with1gt2generated,30.75,32.55,30.75,34.25,0,0,0.1899999976158142,0.5899999737739563, 0.1899999976158142,5.29, 5.43
seed8with1gt2generated,23.95,25.5,23.95,34.7,0,0,0.20000000298023224,0.38999998569488525, 0.10999999940395355,4.93, 5.12
seed9with1gt2generated,31.75,48.1,31.75,40.55,0,0,0.17000000178813934,0.17000000178813934, 0.12999999523162842,5.45, 5.6
