trial,direct_accuracy, self_train_accuracy, gradual_direct_accuracy, gradual_self_train_accuracy, self_train_rep_shift, gradual_self_train_rep_shift
seed0with1gt2generated,27.1,38.0,27.1,43.05,0,0,0.17000000178813934
seed1with1gt2generated,25.15,34.75,25.15,35.6,0,0,0.1899999976158142
seed2with1gt2generated,34.3,50.9,34.3,38.45,0,0,0.17000000178813934
seed3with1gt2generated,29.45,49.8,29.45,54.3,0,0,0.15000000596046448
seed4with1gt2generated,43.55,55.35,43.55,52.1,0,0,0.17000000178813934
seed5with1gt2generated,27.25,47.25,27.25,46.55,0,0,0.17000000178813934
seed6with1gt2generated,28.1,33.95,28.1,35.4,0,0,0.18000000715255737
seed7with1gt2generated,31.15,29.05,31.15,40.35,0,0,0.17000000178813934
seed8with1gt2generated,33.4,27.5,33.4,52.9,0,0,0.17000000178813934
seed9with1gt2generated,31.65,37.25,31.65,48.85,0,0,0.17000000178813934
