seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed9with1gt2generated,57.82,57.49,57.82,66.71,0,0,1.590000033378601,0.07000000029802322, 0.03999999910593033,281.45, 258.74
seed0with1gt2generated,72.86,72.85,72.86,78.21,0,0,1.1200000047683716,0.009999999776482582, 0.10999999940395355,250.91, 243.96
seed1with1gt2generated,70.17,69.8,70.17,71.69,0,0,0.8799999952316284,0.1599999964237213, 0.12999999523162842,266.8, 250.46
seed2with1gt2generated,64.56,64.76,64.56,68.26,0,0,1.399999976158142,0.09000000357627869, 0.07999999821186066,273.77, 260.03
seed3with1gt2generated,59.37,59.38,59.37,68.28,0,0,1.2000000476837158,0.10000000149011612, 0.07000000029802322,281.11, 263.5
seed4with1gt2generated,59.94,59.84,59.94,61.79,0,0,1.6100000143051147,0.029999999329447746, 0.11999999731779099,283.28, 262.93
seed5with1gt2generated,63.06,62.95,63.06,69.3,0,0,1.3600000143051147,0.09000000357627869, 0.019999999552965164,280.74, 260.37
seed6with1gt2generated,66.74,66.39,66.74,67.51,0,0,1.5399999618530273,0.03999999910593033, 0.019999999552965164,269.36, 258.5
seed7with1gt2generated,70.83,71.2,70.83,72.74,0,0,1.0399999618530273,0.09000000357627869, 0.05000000074505806,256.63, 250.79
seed8with1gt2generated,68.55,68.51,68.55,70.56,0,0,1.0199999809265137,0.07999999821186066, 0.019999999552965164,265.47, 254.02
