seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,56.86,55.58,56.86,58.24,0,0,0.11999999731779099,-0.0, 0.019999999552965164,262.47, 258.14
seed1with1gt2generated,61.15,62.7,61.15,63.67,0,0,0.029999999329447746,0.07000000029802322, 0.07999999821186066,258.61, 256.79
seed2with1gt2generated,56.49,56.4,56.49,56.79,0,0,0.029999999329447746,0.07000000029802322, 0.12999999523162842,259.24, 256.49
seed3with1gt2generated,66.1,66.92,66.1,66.71,0,0,0.05000000074505806,0.009999999776482582, -0.009999999776482582,258.39, 257.0
seed4with1gt2generated,62.17,61.73,62.17,62.81,0,0,0.029999999329447746,0.03999999910593033, 0.019999999552965164,257.0, 256.37
seed5with1gt2generated,62.57,63.08,62.57,63.22,0,0,0.029999999329447746,0.03999999910593033, 0.0,259.54, 256.35
seed6with1gt2generated,59.91,59.35,59.91,59.12,0,0,0.029999999329447746,0.019999999552965164, -0.009999999776482582,256.7, 256.59
seed7with1gt2generated,62.14,62.52,62.14,58.12,0,0,0.05000000074505806,0.019999999552965164, 0.029999999329447746,257.37, 256.64
seed8with1gt2generated,52.82,51.36,52.82,57.38,0,0,0.029999999329447746,0.03999999910593033, -0.009999999776482582,259.79, 256.45
seed9with1gt2generated,62.4,61.48,62.4,57.93,0,0,0.019999999552965164,0.019999999552965164, 0.029999999329447746,257.93, 256.51
