seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
1,1,71.23,3.740000009536743, 0.10000000149011612, 48.71
2,1,64.17,4.130000114440918, 0.019999999552965164, 55.81
3,1,68.54,2.890000104904175, -0.05999999865889549, 55.91
4,1,69.63,3.049999952316284, 0.029999999329447746, 54.48
5,1,71.54,3.069999933242798, 0.019999999552965164, 51.27
5,1,71.54,3.069999933242798, 0.019999999552965164, 51.27
6,1,71.68,3.7300000190734863, 0.07000000029802322, 53.27
7,1,67.14,3.1700000762939453, 0.11999999731779099, 57.28
8,1,70.22,3.4000000953674316, 0.029999999329447746, 50.92
9,1,73.28,3.299999952316284, 0.009999999776482582, 53.66
10,1,70.25,2.9800000190734863, 0.09000000357627869, 50.59
11,1,68.02,4.03000020980835, 0.009999999776482582, 51.47
12,1,72.36,3.440000057220459, -0.009999999776482582, 51.25
13,1,68.74,3.5299999713897705, 0.009999999776482582, 53.49
14,1,70.82,3.130000114440918, 0.05000000074505806, 56.17
15,1,72.42,2.859999895095825, 0.019999999552965164, 54.08
16,1,70.35,3.240000009536743, 0.05999999865889549, 51.51
17,1,70.7,3.7300000190734863, 0.05999999865889549, 57.35
18,1,70.99,3.819999933242798, 0.019999999552965164, 50.14
19,1,66.88,3.630000114440918, 0.0, 53.09
