seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
1,1,72.42,2.450000047683716, 0.009999999776482582, 51.46
2,1,73.3,2.490000009536743, -0.05000000074505806, 53.31
3,1,69.25,2.0199999809265137, -0.009999999776482582, 55.21
4,1,69.79,2.1700000762939453, 0.009999999776482582, 55.39
5,1,70.61,2.6600000858306885, -0.009999999776482582, 50.96
5,1,70.61,2.6600000858306885, -0.009999999776482582, 50.96
6,1,68.96,3.180000066757202, 0.07999999821186066, 57.45
7,1,71.26,2.619999885559082, 0.009999999776482582, 52.67
8,1,70.89,2.309999942779541, 0.0, 52.91
9,1,71.77,2.809999942779541, -0.0, 52.95
10,1,70.14,2.2100000381469727, 0.009999999776482582, 51.92
11,1,69.79,2.7200000286102295, 0.029999999329447746, 58.12
12,1,65.76,3.259999990463257, 0.009999999776482582, 55.71
13,1,73.08,2.559999942779541, -0.05999999865889549, 53.2
14,1,65.54,2.309999942779541, 0.009999999776482582, 55.14
15,1,67.11,2.8399999141693115, -0.009999999776482582, 58.57
16,1,71.08,2.299999952316284, -0.10000000149011612, 51.59
17,1,74.56,2.380000114440918, 0.009999999776482582, 52.48
18,1,74.3,2.799999952316284, 0.09000000357627869, 52.85
19,1,71.79,2.6700000762939453, 0.009999999776482582, 52.57
