seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,61.55,61.11,61.55,56.16,0,0,0.029999999329447746,0.10000000149011612, 0.17000000178813934,258.94, 256.51
seed1with1gt2generated,57.13,57.67,57.13,57.32,0,0,0.09000000357627869,0.03999999910593033, -0.009999999776482582,256.17, 257.27
seed2with1gt2generated,60.15,58.42,60.15,61.38,0,0,0.07000000029802322,0.11999999731779099, 0.09000000357627869,257.8, 257.39
seed3with1gt2generated,58.39,56.12,58.39,55.1,0,0,0.07999999821186066,0.05000000074505806, 0.009999999776482582,258.33, 257.27
seed4with1gt2generated,59.98,58.09,59.98,60.67,0,0,0.12999999523162842,0.03999999910593033, 0.07999999821186066,261.23, 258.02
seed5with1gt2generated,59.39,57.45,59.39,57.24,0,0,0.18000000715255737,0.05999999865889549, 0.019999999552965164,262.22, 259.04
seed6with1gt2generated,65.35,64.89,65.35,66.67,0,0,0.07000000029802322,0.029999999329447746, 0.009999999776482582,261.28, 257.34
seed7with1gt2generated,61.01,59.75,61.01,60.56,0,0,0.029999999329447746,0.029999999329447746, 0.11999999731779099,260.3, 256.39
seed8with1gt2generated,59.56,60.25,59.56,64.08,0,0,0.09000000357627869,0.03999999910593033, 0.0,257.71, 257.4
seed9with1gt2generated,57.15,55.87,57.15,65.33,0,0,0.05000000074505806,0.09000000357627869, -0.05000000074505806,256.87, 256.87
