seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,1,31.87,1.649999976158142, 0.05999999865889549, 78.58
1,1,30.38,1.9500000476837158, 0.25, 82.64
2,1,34.55,1.940000057220459, 0.10000000149011612, 79.72
3,1,30.05,1.5700000524520874, 0.14000000059604645, 83.43
4,1,31.36,1.6699999570846558, 0.0, 79.89
5,1,34.15,1.7899999618530273, 0.14000000059604645, 82.01
6,1,32.27,2.059999942779541, 0.15000000596046448, 80.28
7,1,32.81,1.9700000286102295, 0.15000000596046448, 81.12
8,1,33.91,1.5099999904632568, 0.1899999976158142, 80.29
9,1,31.5,1.940000057220459, 0.15000000596046448, 80.05
