seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,2,37.7,1.5499999523162842, 0.009999999776482582, 73.32
1,2,34.12,1.5399999618530273, 0.019999999552965164, 76.02
2,2,40.31,1.559999942779541, 0.019999999552965164, 74.32
3,2,44.56,1.3899999856948853, -0.009999999776482582, 75.77
4,2,41.76,1.4199999570846558, -0.009999999776482582, 74.98
5,2,38.18,1.5299999713897705, -0.0, 75.15
6,2,38.02,1.4500000476837158, -0.0, 75.15
7,2,44.49,1.5, 0.009999999776482582, 76.36
8,2,43.58,1.5800000429153442, 0.019999999552965164, 74.91
9,2,35.97,1.4600000381469727, 0.009999999776482582, 74.5
