seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,42.8,43.99,42.8,52.72,0,0,0.5400000214576721,0.27000001072883606, 0.14000000059604645,8.11, 9.91
seed1with1gt2generated,44.73,45.5,44.73,52.74,0,0,0.5199999809265137,0.15000000596046448, 0.11999999731779099,8.46, 10.17
seed2with1gt2generated,44.25,45.94,44.25,54.91,0,0,0.6299999952316284,0.11999999731779099, 0.1599999964237213,7.9, 9.45
seed3with1gt2generated,45.28,46.14,45.28,56.27,0,0,0.5299999713897705,0.23999999463558197, 0.20000000298023224,8.18, 10.02
seed4with1gt2generated,43.73,43.66,43.73,51.84,0,0,0.5400000214576721,0.09000000357627869, 0.15000000596046448,8.22, 9.99
seed5with1gt2generated,41.74,42.6,41.74,53.76,0,0,0.5199999809265137,0.10999999940395355, 0.11999999731779099,8.26, 10.04
seed6with1gt2generated,46.26,48.12,46.26,57.44,0,0,0.5600000023841858,0.20999999344348907, 0.20999999344348907,7.94, 9.54
seed7with1gt2generated,47.3,47.88,47.3,58.39,0,0,0.47999998927116394,0.17000000178813934, 0.20999999344348907,7.99, 9.68
seed8with1gt2generated,45.85,47.93,45.85,56.97,0,0,0.5299999713897705,0.18000000715255737, 0.10000000149011612,8.14, 9.89
seed9with1gt2generated,41.43,42.66,41.43,49.01,0,0,0.550000011920929,0.20999999344348907, 0.20000000298023224,8.24, 10.08
