seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,43.38,43.45,43.38,56.58,0,0,0.5199999809265137,0.1899999976158142, 0.12999999523162842,8.4, 10.08
seed1with1gt2generated,43.05,43.83,43.05,52.72,0,0,0.5199999809265137,0.15000000596046448, 0.15000000596046448,7.83, 9.6
seed2with1gt2generated,44.21,45.92,44.21,54.52,0,0,0.4699999988079071,0.17000000178813934, 0.12999999523162842,8.17, 9.89
seed3with1gt2generated,41.42,42.64,41.42,51.97,0,0,0.550000011920929,0.18000000715255737, 0.14000000059604645,8.12, 9.72
seed4with1gt2generated,40.8,41.93,40.8,49.66,0,0,0.5099999904632568,0.3199999928474426, 0.15000000596046448,7.91, 9.62
seed5with1gt2generated,44.86,47.25,44.86,55.88,0,0,0.5099999904632568,0.20999999344348907, 0.17000000178813934,8.35, 10.04
seed6with1gt2generated,44.94,45.72,44.94,56.47,0,0,0.5299999713897705,0.30000001192092896, 0.17000000178813934,8.07, 9.73
seed7with1gt2generated,43.58,44.99,43.58,51.32,0,0,0.5600000023841858,0.17000000178813934, 0.30000001192092896,8.15, 9.84
seed8with1gt2generated,45.49,46.54,45.49,59.1,0,0,0.5099999904632568,0.3199999928474426, 0.12999999523162842,8.18, 9.96
seed9with1gt2generated,45.41,46.58,45.41,53.55,0,0,0.5099999904632568,0.27000001072883606, 0.10999999940395355,7.5, 9.29
