seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,20,75.4,0.25, 0.03999999910593033, 12.34
6,20,73.4,0.27000001072883606, 0.11999999731779099, 12.55
7,20,64.3,0.30000001192092896, 0.03999999910593033, 12.15
8,20,81.3,0.2800000011920929, 0.009999999776482582, 11.97
9,20,77.75,0.2800000011920929, 0.05000000074505806, 11.71
10,20,79.25,0.30000001192092896, 0.05000000074505806, 12.3
11,20,83.05,0.25, 0.029999999329447746, 12.78
12,20,53.6,0.2800000011920929, 0.03999999910593033, 10.99
13,20,53.6,0.12999999523162842, 0.019999999552965164, 11.14
14,20,84.05,0.25, 0.03999999910593033, 12.17
15,20,77.15,0.30000001192092896, 0.05999999865889549, 12.24
16,20,85.3,0.27000001072883606, 0.029999999329447746, 12.43
17,20,62.65,0.25, 0.10999999940395355, 11.48
18,20,81.2,0.25999999046325684, 0.03999999910593033, 11.9
19,20,83.1,0.25, 0.03999999910593033, 12.04
