seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
0,4,84.3,0.4300000071525574, 0.019999999552965164, 7.71
1,4,82.55,0.4399999976158142, 0.0, 7.96
2,4,68.45,0.4000000059604645, 0.07000000029802322, 7.83
3,4,83.7,0.4699999988079071, 0.0, 7.79
4,4,69.15,0.41999998688697815, -0.15000000596046448, 7.57
5,4,84.8,0.4699999988079071, 0.009999999776482582, 7.72
6,4,78.25,0.4300000071525574, 0.029999999329447746, 7.94
7,4,65.7,0.4699999988079071, 0.1899999976158142, 6.92
8,4,78.75,0.4300000071525574, 0.18000000715255737, 8.39
9,4,77.7,0.4000000059604645, -0.1899999976158142, 8.04
10,4,82.6,0.46000000834465027, 0.09000000357627869, 7.14
11,4,82.6,0.4099999964237213, 0.019999999552965164, 8.09
12,4,77.85,0.3400000035762787, -0.1599999964237213, 7.56
13,4,82.6,0.3100000023841858, -0.03999999910593033, 7.95
14,4,71.05,0.5199999809265137, -0.09000000357627869, 7.5
15,4,65.85,0.4399999976158142, 0.019999999552965164, 6.83
16,4,79.9,0.38999998569488525, -0.10999999940395355, 8.26
17,4,71.2,0.38999998569488525, -0.23999999463558197, 6.79
18,4,73.3,0.44999998807907104, 0.0, 7.96
19,4,84.55,0.4300000071525574, 0.05999999865889549, 7.29
