seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
5,50,83.7,0.20000000298023224, 0.0, 12.49
6,50,81.8,0.20000000298023224, 0.0, 12.4
7,50,84.55,0.18000000715255737, 0.0, 13.32
8,50,53.6,0.10999999940395355, 0.0, 10.13
9,50,74.75,0.20000000298023224, 0.0, 12.49
10,50,75.0,0.17000000178813934, 0.0, 11.95
11,50,85.4,0.20999999344348907, -0.0, 13.61
12,50,78.0,0.20000000298023224, 0.009999999776482582, 12.83
13,50,80.8,0.20999999344348907, 0.0, 12.67
14,50,77.8,0.17000000178813934, 0.009999999776482582, 13.44
15,50,79.4,0.1899999976158142, 0.0, 12.58
16,50,80.9,0.20000000298023224, 0.0, 13.3
17,50,46.4,0.20000000298023224, 0.0, 10.93
18,50,86.35,0.1899999976158142, 0.0, 13.05
19,50,81.95,0.20000000298023224, 0.0, 12.38
