seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
3,4,86.05,0.3799999952316284, -0.009999999776482582, 6.86
4,4,81.9,0.3499999940395355, 0.009999999776482582, 6.92
5,4,82.9,0.4300000071525574, 0.0, 7.01
0,4,85.3,0.38999998569488525, 0.0, 7.14
1,4,80.4,0.3799999952316284, -0.07000000029802322, 6.8
2,4,84.85,0.3400000035762787, 0.03999999910593033, 7.0
3,4,84.25,0.4399999976158142, -0.07000000029802322, 7.41
4,4,84.95,0.4099999964237213, -0.20999999344348907, 6.61
5,4,85.05,0.3400000035762787, 0.0, 6.82
6,4,84.55,0.3799999952316284, 0.0, 7.34
7,4,81.1,0.38999998569488525, -0.17000000178813934, 7.22
8,4,84.85,0.3499999940395355, 0.0, 7.44
9,4,86.9,0.46000000834465027, -0.09000000357627869, 7.55
10,4,81.55,0.4099999964237213, 0.05999999865889549, 7.14
