seed,intermediate_domains,self_train_accuracy,weight_shift,sharpness,weight_norm
3,4,85.85,0.4399999976158142, 0.019999999552965164, 7.01
4,4,81.5,0.3700000047683716, 0.009999999776482582, 6.91
5,4,79.1,0.3700000047683716, 0.1599999964237213, 5.82
17,4,83.35,0.44999998807907104, -0.0, 7.34
18,4,85.15,0.41999998688697815, -0.0, 7.23
19,4,86.8,0.4099999964237213, 0.009999999776482582, 7.26
20,4,84.3,0.38999998569488525, 0.0, 7.23
21,4,83.95,0.46000000834465027, 0.029999999329447746, 7.6
22,4,85.9,0.4000000059604645, -0.0, 6.96
23,4,83.55,0.3700000047683716, -0.05000000074505806, 7.63
24,4,83.85,0.38999998569488525, -0.0, 7.54
25,4,83.5,0.36000001430511475, -0.0, 6.8
26,4,74.95,0.38999998569488525, -0.10999999940395355, 6.81
27,4,86.4,0.4300000071525574, -0.0, 7.37
28,4,80.1,0.46000000834465027, -0.18000000715255737, 7.02
29,4,71.85,0.4000000059604645, 0.0, 5.85
30,4,86.7,0.4099999964237213, 0.009999999776482582, 7.65
31,4,83.85,0.4000000059604645, -0.0, 6.74
