seed,direct_acc, st_acc, direct_acc_all, st_acc_all, generated_acc, st_rep_shift, st_rep_shift_all, st_sharp, st_sharp_all, rep_norm, rep_norm_all
seed0with1gt2generated,68.75,72.5,68.75,77.65,0,0,0.05999999865889549,0.14000000059604645, 0.11999999731779099,1.04, 1.04
seed1with1gt2generated,67.95,71.0,67.95,76.3,0,0,0.07000000029802322,0.1599999964237213, 0.23000000417232513,0.85, 0.87
seed2with1gt2generated,67.0,71.65,67.0,72.55,0,0,0.09000000357627869,0.07999999821186066, 0.10999999940395355,0.9, 0.92
seed3with1gt2generated,72.05,72.45,72.05,77.2,0,0,0.07000000029802322,0.1599999964237213, 0.14000000059604645,0.95, 0.95
seed4with1gt2generated,67.75,70.7,67.75,73.0,0,0,0.07999999821186066,0.009999999776482582, 0.10999999940395355,0.77, 0.78
seed5with1gt2generated,68.75,75.3,68.75,77.7,0,0,0.07000000029802322,0.09000000357627869, 0.05999999865889549,0.78, 0.81
seed6with1gt2generated,59.65,70.6,59.65,66.45,0,0,0.09000000357627869,0.07999999821186066, 0.05999999865889549,0.87, 0.9
seed7with1gt2generated,72.55,75.8,72.55,67.4,0,0,0.10000000149011612,-0.009999999776482582, 0.10000000149011612,0.88, 0.89
seed8with1gt2generated,69.3,73.25,69.3,79.25,0,0,0.07000000029802322,0.05999999865889549, 0.07000000029802322,0.92, 0.93
seed9with1gt2generated,77.5,79.5,77.5,80.3,0,0,0.05999999865889549,0.019999999552965164, 0.14000000059604645,0.84, 0.83
